number,safe_repo,repo_name,archive,repo_id,technology,path
404,alexrogalskiy/screenshots,alexrogalskiy/screenshots,AlexRogalskiy-screenshots.tar.gz,338610006.0,opa,policy/deny.rego
405,gucio1200/home-infra,gucio1200/home-infra,gucio1200-home-infra.tar.gz,580849095.0,kyverno,k8s/apps/networking/ingress-nginx/app/clusterpolicy.yaml
406,aws/aws-cdk,aws/aws-cdk,aws-aws-cdk.tar.gz,105808767.0,cloudformation-guard,tools/@aws-cdk/security-guardian/rules/trust_scope_rules.guard
407,googlecloudplatform/solution-acceleration-toolkit,googlecloudplatform/solution-acceleration-toolkit,GoogleCloudPlatform-solution-acceleration-toolkit.tar.gz,232851813.0,opa,templates/policygen/forseti/overall/iam_deny_public_access.yaml
408,aquasecurity/avd-generator,aquasecurity/avd-generator,aquasecurity-avd-generator.tar.gz,287123296.0,opa,goldens/rego/Baseline #6 - AppArmor policy disabled.rego
409,armory/se-spinnaker-config,armory/se-spinnaker-config,armory-se-spinnaker-config.tar.gz,276706613.0,opa,policies/policy-lb22.rego
410,kubewarden/raw-validation-opa-policy,kubewarden/raw-validation-opa-policy,kubewarden-raw-validation-opa-policy.tar.gz,709390468.0,opa,policy.rego
411,tkpegatron/homelab-k8sflux,tkpegatron/homelab-k8sflux,TkPegatron-homelab-k8sflux.tar.gz,680816790.0,kyverno,kubernetes/main/applications/kyverno/kyverno/policies/delete-cpu-limits.yaml
412,snowflake-labs/sansshell,snowflake-labs/sansshell,Snowflake-Labs-sansshell.tar.gz,411709740.0,opa,cmd/proxy-server/default-policy.rego
413,odahu/odahu-flow,odahu/odahu-flow,odahu-odahu-flow.tar.gz,219930786.0,opa,helms/odahu-flow-core/policies/api/roles.rego
414,budimanjojo/home-cluster,budimanjojo/home-cluster,budimanjojo-home-cluster.tar.gz,381001331.0,kyverno,cluster/apps/default/clusterpolicies/base/delete-cpu-limits.yaml
415,daluca/cloud,daluca/cloud,daluca-cloud.tar.gz,588761522.0,opa,policy/constraints/base/https-only.yaml
416,bearer/bearer,bearer/bearer,Bearer-bearer.tar.gz,542197924.0,opa,pkg/commands/process/settings/processors/rails_encrypted.rego
417,koralium/opadotnet,koralium/opadotnet,koralium-OPADotNet.tar.gz,390546533.0,opa,samples/MvcExample/policies/read.rego
418,charbelnemnom/power-mvp-elite,charbelnemnom/power-mvp-elite,CharbelNemnom-Power-MVP-Elite.tar.gz,114026513.0,azure,Azure/Azure Policy/Diagnostic Settings/Event Hub/Policy-Definition-EH.json
419,educates/educates-training-platform,educates/educates-training-platform,educates-educates-training-platform.tar.gz,476091798.0,kyverno,carvel-packages/installer/bundle/config/ytt/_ytt_lib/packages/educates/_ytt_lib/kyverno-policies/upstream/other/b-d/disallow-localhost-services/disallow-localhost-services.yaml
420,falkwinkler/k3s-gitops,falkwinkler/k3s-gitops,FalkWinkler-k3s-gitops.tar.gz,437833524.0,kyverno,kubernetes/apps/kyverno/kyverno/policies/inject-tz.yaml
421,opendatahub-io-contrib/data-mesh-pattern,opendatahub-io-contrib/data-mesh-pattern,opendatahub-io-contrib-data-mesh-pattern.tar.gz,619387142.0,opa,gitops/openmetadata/policy/sample-policy.rego
422,legit-labs/legitify,legit-labs/legitify,Legit-Labs-legitify.tar.gz,513947555.0,opa,policies/github/common/secrets.rego
423,samip5/k8s-cluster,samip5/k8s-cluster,samip5-k8s-cluster.tar.gz,387935428.0,kyverno,.archive/base/kyverno/policies/apply-ingress-whitelist-annotations.yaml
424,data-catering/insta-infra,data-catering/insta-infra,data-catering-insta-infra.tar.gz,807386292.0,opa,cmd/insta/resources/data/opa/policies/lakekeeper/authentication.rego
425,valitydev/bouncer-policies,valitydev/bouncer-policies,valitydev-bouncer-policies.tar.gz,452198096.0,opa,policies/system/authz.rego
426,premisedata/gcp-tutorials,premisedata/gcp-tutorials,premisedata-gcp-tutorials.tar.gz,368586354.0,cloud-custodian,002-cloud-custodian-metric-filters/instance_utilization.yml
427,tkestack/charts,tkestack/charts,tkestack-charts.tar.gz,394871206.0,opa,incubator/kubesphere/files/extensions.customresourcefilters.rego
428,ardanlabs/liarsdice,ardanlabs/liarsdice,ardanlabs-liarsdice.tar.gz,515274699.0,opa,business/web/auth/rego/authentication.rego
429,nexodus-io/nexodus,nexodus-io/nexodus,nexodus-io-nexodus.tar.gz,545068542.0,opa,internal/routers/token.rego
430,jsa4000/homelab-ops,jsa4000/homelab-ops,jsa4000-homelab-ops.tar.gz,770867638.0,kyverno,kubernetes/addons/security/kyverno/policies/remove-cpu-limits.yaml
431,tyconsulting/azurepolicy,tyconsulting/azurepolicy,tyconsulting-azurepolicy.tar.gz,145643478.0,azure,policy-definitions/audit-resources-without-tags/azurepolicy.json
432,labring-actions/cluster-image,labring-actions/cluster-image,labring-actions-cluster-image.tar.gz,484095473.0,kyverno,applications/openebs-cstor/v3.3.0/charts/openebs/templates/kyverno/require-user-groups.yaml
433,ollionorg/gcp-landing-zone,ollionorg/gcp-landing-zone,ollionorg-gcp-landing-zone.tar.gz,529133508.0,opa,policy-library/policies/constraints/tf_compute_enable_oslogin_project.yaml
434,azsk/azts-docs,azsk/azts-docs,azsk-AzTS-docs.tar.gz,357971808.0,azure,Policies/SQLServer/Azure_SQLDatabase_Audit_Enable_Threat_Detection_Server/Security - SQL Server - AuditSqlServerAuditingSettings.json
