repo_name,archive_name,repo_id,path,ref,size,technology,id
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/bundles/cis-k8s-v1.5.1/5.7.2_seccomp-default.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,2746.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/bundles/policy-essentials-v2022/psp-allow-privilege-escalation-container.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,2232.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/bundles/cis-k8s-v1.5.1/5.4.1_no-secrets-as-env-vars.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,2309.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/constraints/asmauthzpolicydefaultdeny.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,2539.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/constraints/k8sdisallowinteractivetty.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,2979.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/bundles/policy-essentials-v2022/no-secrets-as-env-vars.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,2202.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/bundles/pss-baseline-v2022/apparmor.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,2206.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/constraints/k8spspvolumetypes.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,2169.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/bundles/pss-baseline-v2022/seccomp.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,2549.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/bundles/psp-v2022/psp-host-network-ports.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,2253.0,gatekeeper,735437748.0
