,repo_id,path,ref,size,technology,id
6296,224386599,checkov/arm/base_resource_negative_value_check.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2476,checkov-py,224386599
6297,224386599,checkov/kubernetes/checks/resource/k8s/Seccomp.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,5638,checkov-py,224386599
6298,224386599,checkov/github_actions/checks/job/CosignArtifacts.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2174,checkov-py,224386599
6299,224386599,checkov/kubernetes/checks/resource/base_rbac_check.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,4063,checkov-py,224386599
6300,224386599,checkov/terraform/checks/resource/kubernetes/Tiller.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,3584,checkov-py,224386599
6301,224386599,checkov/cloudformation/checks/resource/aws/ECRPolicy.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,4236,checkov-py,224386599
6302,224386599,checkov/terraform/checks/resource/kubernetes/Secrets.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2772,checkov-py,224386599
6303,224386599,checkov/cloudformation/context_parser.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,8811,checkov-py,224386599
6304,224386599,checkov/kubernetes/checks/resource/k8s/RootContainers.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,3590,checkov-py,224386599
6305,224386599,checkov/cloudformation/checks/resource/aws/EC2PublicIP.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2875,checkov-py,224386599
6306,224386599,checkov/terraform/checks/resource/kubernetes/CPULimits.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2400,checkov-py,224386599
6307,224386599,checkov/arm/checks/resource/NetworkWatcherFlowLogPeriod.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2092,checkov-py,224386599
6308,224386599,checkov/arm/checks/resource/NSGRulePortAccessRestricted.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,3493,checkov-py,224386599
6309,224386599,checkov/arm/checks/resource/FrontDoorWAFACLCVE202144228.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2990,checkov-py,224386599
6310,224386599,checkov/terraform/checks/resource/kubernetes/CPURequests.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2326,checkov-py,224386599
6311,224386599,checkov/terraform/checks/resource/aws/WAFACLCVE202144228.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,3276,checkov-py,224386599
6312,224386599,checkov/terraform/checks/resource/kubernetes/ImageDigest.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2209,checkov-py,224386599
6313,224386599,checkov/arm/checks/resource/AppGatewayWAFACLCVE202144228.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,3064,checkov-py,224386599
6314,224386599,checkov/terraform/checks/resource/aws/S3AllowsAnyPrincipal.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,5492,checkov-py,224386599
6315,224386599,checkov/openapi/checks/resource/generic/SecurityOperations.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2195,checkov-py,224386599
6316,224386599,checkov/terraform/checks/resource/panos/PolicyNoServiceAny.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2138,checkov-py,224386599
6317,224386599,checkov/terraform/checks/resource/kubernetes/ImageTagFixed.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2590,checkov-py,224386599
6318,224386599,checkov/terraform/checks/resource/gcp/GoogleKMSKeyIsPublic.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2272,checkov-py,224386599
6319,224386599,checkov/terraform/checks/resource/aws/WAFRuleHasAnyActions.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2301,checkov-py,224386599
6320,224386599,checkov/arm/checks/resource/AKSApiServerAuthorizedIpRanges.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2435,checkov-py,224386599
6321,224386599,checkov/terraform/checks/resource/aws/IAMManagedAdminPolicy.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2566,checkov-py,224386599
6322,224386599,checkov/openapi/checks/resource/v2/OperationObjectBasicAuth.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2209,checkov-py,224386599
6323,224386599,checkov/terraform/checks/resource/base_resource_value_check.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,5639,checkov-py,224386599
6324,224386599,checkov/terraform/checks/resource/kubernetes/MemoryRequests.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2371,checkov-py,224386599
6325,224386599,checkov/terraform/checks/resource/panos/PolicyNoSrcAnyDstAny.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,3337,checkov-py,224386599
6326,224386599,checkov/arm/checks/resource/SQLServerAuditingRetention90Days.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2762,checkov-py,224386599
6327,224386599,checkov/kubernetes/checks/resource/k8s/ImagePullPolicyAlways.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2418,checkov-py,224386599
6328,224386599,checkov/terraform/checks/resource/kubernetes/DropCapabilities.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,3170,checkov-py,224386599
6329,224386599,checkov/terraform/checks/data/aws/GithubActionsOIDCTrustPolicy.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,6365,checkov-py,224386599
6330,224386599,checkov/terraform/checks/resource/aws/ECSContainerReadOnlyRoot.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2159,checkov-py,224386599
6331,224386599,checkov/terraform/checks/resource/aws/SecretManagerSecret90days.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2599,checkov-py,224386599
6332,224386599,checkov/terraform/checks/resource/aws/GlueSecurityConfiguration.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2916,checkov-py,224386599
6333,224386599,checkov/common/typing.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,4047,checkov-py,224386599
6334,224386599,checkov/terraform/checks/resource/azure/SQLDatabaseLedgerEnabled.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2082,checkov-py,224386599
6336,224386599,checkov/arm/context_parser.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,10722,checkov-py,224386599
6337,224386599,checkov/common/util/suppression.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2199,checkov-py,224386599
6338,224386599,checkov/common/checks_infra/registry.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,5029,checkov-py,224386599
6339,224386599,checkov/arm/base_resource_check.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2131,checkov-py,224386599
6340,224386599,checkov/arm/checks/resource/AzureServiceFabricClusterProtectionLevel.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2224,checkov-py,224386599
6341,224386599,checkov/terraform/checks/resource/gcp/GoogleCloudPostgreSqlLogMinDuration.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2922,checkov-py,224386599
6342,224386599,checkov/terraform/checks/resource/gcp/GoogleCloudPostgreSqlLogDisconnection.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2947,checkov-py,224386599
6343,224386599,checkov/cloudformation/checks/resource/aws/ParameterStoreCredentials.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2240,checkov-py,224386599
6344,224386599,checkov/arm/checks/resource/SQLServerNoPublicAccess.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2084,checkov-py,224386599
6345,224386599,checkov/terraform/checks/resource/kubernetes/MemoryLimits.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2327,checkov-py,224386599
6346,224386599,checkov/terraform/checks/resource/aws/SQSOverlyPermissive.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2575,checkov-py,224386599
6347,224386599,checkov/cloudformation/checks/resource/BaseCloudsplainingIAMCheck.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,5506,checkov-py,224386599
6348,224386599,checkov/common/runners/object_runner.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,19708,checkov-py,224386599
6349,224386599,checkov/kubernetes/checks/resource/base_container_check.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,5877,checkov-py,224386599
6350,224386599,checkov/openapi/checks/resource/generic/ClearTextAPIKey.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2839,checkov-py,224386599
6351,224386599,checkov/terraform/checks/resource/azure/NSGRuleUDPAccessRestricted.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2203,checkov-py,224386599
6352,224386599,checkov/terraform/checks/resource/aws/AbsSecurityGroupUnrestrictedIngress.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,5676,checkov-py,224386599
6353,224386599,checkov/kubernetes/kubernetes_utils.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,11587,checkov-py,224386599
6354,224386599,checkov/cloudformation/checks/resource/base_resource_negative_value_check.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2977,checkov-py,224386599
6355,224386599,checkov/cloudformation/checks/resource/aws/CloudfrontDistributionEncryption.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2664,checkov-py,224386599
6356,224386599,checkov/terraform/checks/resource/kubernetes/ImagePullPolicyAlways.py,6c2a5155223ca0473de05c7c7ed71acb7a6036c8,2541,checkov-py,224386599
