repo_name,archive_name
Cross-Lab-Project/crosslab,Cross-Lab-Project-crosslab.tar.gz
project-sunbird/sunbird-ed-installer,project-sunbird-sunbird-ed-installer.tar.gz
AlexRogalskiy/android-patterns,AlexRogalskiy-android-patterns.tar.gz
pauldotyu/azure-platform-terraform,pauldotyu-azure-platform-terraform.tar.gz
terraform-in-action/manning-code,terraform-in-action-manning-code.tar.gz
stackabletech/hdfs-utils,stackabletech-hdfs-utils.tar.gz
sapcc/helm-charts,sapcc-helm-charts.tar.gz
GoogleCloudPlatform/gcp-getting-started-lab-jp,GoogleCloudPlatform-gcp-getting-started-lab-jp.tar.gz
star3am/hashiqube,star3am-hashiqube.tar.gz
HC-IPPM/devsecops-platform,HC-IPPM-devsecops-platform.tar.gz
Azure/ai-hub,Azure-ai-hub.tar.gz
Sunbird-Lern/userorg-service,Sunbird-Lern-userorg-service.tar.gz
Obmondo/kubeaid,Obmondo-kubeaid.tar.gz
Azure/ARO-RP,Azure-ARO-RP.tar.gz
bestchains/installer,bestchains-installer.tar.gz
StyraInc/regal,StyraInc-regal.tar.gz
AlexRogalskiy/quotes,AlexRogalskiy-quotes.tar.gz
erkules/dufluxdu,erkules-dufluxdu.tar.gz
Apersant1/Spottier,Apersant1-Spottier.tar.gz
netscaler/netscaler-k8s-ingress-controller,netscaler-netscaler-k8s-ingress-controller.tar.gz
raffaelespazzoli/openshift-enablement-exam,raffaelespazzoli-openshift-enablement-exam.tar.gz
GoogleCloudPlatform/policy-library,GoogleCloudPlatform-policy-library.tar.gz
lfn-cnti/testsuite,lfn-cnti-testsuite.tar.gz
stacklet/shift-left-foundations-pack,stacklet-shift-left-foundations-pack.tar.gz
cloud-gov/compliance,cloud-gov-compliance.tar.gz
pulumi/customer-managed-deployment-agent,pulumi-customer-managed-deployment-agent.tar.gz
fybrik/fybrik,fybrik-fybrik.tar.gz
GoogleCloudPlatform/anthos-appconfig,GoogleCloudPlatform-anthos-appconfig.tar.gz
anza-labs/manifests,anza-labs-manifests.tar.gz
Cybersecurity-Certification-Hub/security-metrics,Cybersecurity-Certification-Hub-security-metrics.tar.gz
kyma-project/test-infra,kyma-project-test-infra.tar.gz
cisagov/ScubaGoggles,cisagov-ScubaGoggles.tar.gz
GoogleCloudPlatform/federated-learning,GoogleCloudPlatform-federated-learning.tar.gz
GoogleCloudPlatform/terraform-google-enterprise-genai,GoogleCloudPlatform-terraform-google-enterprise-genai.tar.gz
Geeks-Academy/terraform,Geeks-Academy-terraform.tar.gz
jouve/charts,jouve-charts.tar.gz
Azure/ALZ-Bicep,Azure-ALZ-Bicep.tar.gz
kubewarden/disallow-service-nodeport-policy,kubewarden-disallow-service-nodeport-policy.tar.gz
dipankardas011/Learn-Cloud-Native-Tools,dipankardas011-Learn-Cloud-Native-Tools.tar.gz
mathieu-benoit/ci-with-helm,mathieu-benoit-ci-with-helm.tar.gz
HummerRisk/HummerRisk,HummerRisk-HummerRisk.tar.gz
